G1GMP-2403-MONOMER	G1GMP-2403	Q8EDX4	uridine kinase Udk	Udk
G1GMP-2654-MONOMER	G1GMP-2654	Q8ED88	predicted lipoprotein	
G1GMP-958-MONOMER	G1GMP-958	Q8EI18	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase CobT	CobT
G1GMP-373-MONOMER	G1GMP-373	Q8EJS3	hypothetical protein	
G1GMP-3413-MONOMER	G1GMP-3413	Q8EB65	TonB-dependent heme/hemoglobin receptor HmuA	HmuA
G1GMP-1907-MONOMER	G1GMP-1907		ATP phosphoribosyltransferase HisG	HisG
G1GMP-1356-MONOMER	G1GMP-1356	Q8EGX3	ADP-ribose binding domain-containing protein	
G1GMP-4485-MONOMER	G1GMP-4485	Q8E853	resolvase family site-specific recombinase	
G1GMP-814-MONOMER	G1GMP-814	Q8EIG7	polyA polymerase PcnB	PcnB
G1GMP-1610-MONOMER	G1GMP-1610	Q8EG51	transcriptional repressor DeoR family	
G1GMP-553-MONOMER	G1GMP-553	Q8EJ84	chemotaxis signal transduction system methyl accepting sensory transducer with PAS sensory domain	
G1GMP-2355-MONOMER	G1GMP-2355	Q8EE21	putative cytoplasmic protein	
G1GMP-2715-MONOMER	G1GMP-2715	Q8ED30	Lambda phage tail assembly protein I	
G1GMP-1876-MONOMER	G1GMP-1876	Q8EFE4	integron integrase IntI	IntI
G1GMP-1250-MONOMER	G1GMP-1250	Q8EH77	holo-(acyl-carrier protein) synthase AcpS	AcpS
G1GMP-2986-MONOMER	G1GMP-2986	Q8ECD7	chemotaxis signal transduction system response regulator with glutamate methylesterase domain CheB	CheB
G1GMP-1451-MONOMER	G1GMP-1451	Q8EGM3	glutathione S-transferase Gst	Gst
G1GMP-1128-MONOMER	G1GMP-1128	Q8EHK4	2-deoxyribose-5-phosphate aldolase	DeoC
G1GMP-680-MONOMER	G1GMP-680	Q8EIV4	photoreactivation-associated protein PhrA	PhrA
G1GMP-3108-MONOMER	G1GMP-3108	Q8EC05	small conductance mechanosensitive ion channel protein MscS	MscS
G1GMP-1415-MONOMER	G1GMP-1415	Q8EGR3	predicted periplasmic protein	
G1GMP-2564-MONOMER	G1GMP-2564	Q8EDH1	3-oxoacyl-ACP synthase III	FabH
G1GMP-30-MONOMER	G1GMP-30	Q8EKR0	16S rRNA (cytosine967-C5)-methyltransferase RsmB	RsmB
G1GMP-2776-MONOMER	G1GMP-2776	Q8ECX0	Lambda phage uncharacterized protein	
G1GMP-2864-MONOMER	G1GMP-2864	Q8ECP2	VWR domain protein in aerotolerance operon BatA	BatA
G1GMP-4270-MONOMER	G1GMP-4270	Q8E8P1	nucleoside-specifc outer membrane porin Tsx family	
G1GMP-229-MONOMER	G1GMP-229	Q8EK60	30S ribosomal protein S17 RpsQ	RpsQ
G1GMP-4163-MONOMER	G1GMP-4163	Q8E8Z8	molydopterin cofactor biosynthesis protein	
G1GMP-2356-MONOMER	G1GMP-2356	Q8EE20	DUF885 family lipoprotein	
G1GMP-3314-MONOMER	G1GMP-3314	Q8EBG4	5-(carboxyamino)imidazole ribonucleotide mutase	PurE
G1GMP-1695-MONOMER	G1GMP-1695	Q8EFW9	hypothetical protein	
G1GMP-815-MONOMER	G1GMP-815	Q8EIG6	glutamyl-Q-tRNA-Asp synthetase YadB	YadB
G1GMP-3542-MONOMER	G1GMP-3542	Q8EAS6	VanZ family protein	
G1GMP-1534-MONOMER	G1GMP-1534	Q8EGD7	4a-hydroxytetrahydrobiopterin dehydratase	PhhB
G1GMP-3282-MONOMER	G1GMP-3282	Q8EBJ5	type IV minor pilin protein FimT	FimT
G1GMP-3673-MONOMER	G1GMP-3673	Q8EAE8	ABC-type lipopolysaccharide export system MFP component LptC	LptC
G1GMP-3795-MONOMER	G1GMP-3795	Q8EA01	MSHA biogenesis protein MshG	MshG
G1GMP-2107-MONOMER	G1GMP-2107	Q8EER4	leucine-responsive regulatory protein Lrp	Lrp
G1GMP-3414-MONOMER	G1GMP-3414	Q8EB64	TonB1 energy transduction system for heme uptake energy transducer component TonB	TonB
G1GMP-681-MONOMER	G1GMP-681	Q8EIV3	protein of unknown function DUF134	
G1GMP-554-MONOMER	G1GMP-554	Q8EJ83	D-isomer specific 2-hydroxyacid dehydrogenase family protein	
G1GMP-2036-MONOMER	G1GMP-2036	Q8EEY6	subfamily S9C unassigned peptidase	
G1GMP-1969-MONOMER	G1GMP-1969	Q8EF51	ISSod16 transposase TnpA_ISSod16	TnpA
G1GMP-2357-MONOMER	G1GMP-2357	Q8EE19	ATP-dependent RNA helicase DEAD box family	
G1GMP-1251-MONOMER	G1GMP-1251	Q8EH76	inner membrane protein of unknown function DUF962	
G1GMP-2987-MONOMER	G1GMP-2987	Q8ECD6	chemotaxis signal transduction system histidine kinase CheA	CheA
G1GMP-3856-MONOMER	G1GMP-3856	Q8E9T4	glycosyl transferase family 2 MxdB	MxdB
G1GMP-3924-MONOMER	G1GMP-3924	Q8E9M2	protein of unknown function DUF2466 YicR	YicR
G1GMP-4486-MONOMER	G1GMP-4486	Q8E852	hypothetical protein	
G1GMP-1129-MONOMER	G1GMP-1129	Q8EHK3	thymidine phosphorylase DeoA	DeoA
G1GMP-1017-MONOMER	G1GMP-1017	Q8EHV7	Na-translocating NADH-quinone reductase subunit C NqrC	NqrC
G1GMP-2565-MONOMER	G1GMP-2565	Q8EDH0	phosphate:acyl-ACP acyltransferase PlsX	PlsX
G1GMP-3109-MONOMER	G1GMP-3109	Q8EC04	2-Cys peroxiredoxin	Tpx
G1GMP-304-MONOMER	G1GMP-304	Q8EJY9	transcriptional regulator AraC family	
G1GMP-4583-MONOMER	G1GMP-4583	Q8CMF0	ISSod9 hypothetical protein	
G1GMP-2865-MONOMER	G1GMP-2865	Q8ECP1	TPR domain protein in aerotolerance operon BatB	BatB
G1GMP-4164-MONOMER	G1GMP-4164	Q8E8Z7	formate dehydrogenase assembly/maturation protein	
G1GMP-436-MONOMER	G1GMP-436	Q8EJK5	hypothetical protein	
G1GMP-126-MONOMER	G1GMP-126	Q8EKG2	chorismate-pyruvate lyase UbiC	UbiC
G1GMP-4337-MONOMER	G1GMP-4337	Q8E8H2	proton-coupled multidrug efflux pump permease component VmeB	VmeB
G1GMP-2358-MONOMER	G1GMP-2358	Q8EE18	cytoplasmic peptidyl-prolyl cis-trans isomerase PpiB	PpiB
G1GMP-3240-MONOMER	G1GMP-3240	Q8EBN8	serine hydroxymethyltransferase GlyA	GlyA
G1GMP-3415-MONOMER	G1GMP-3415	Q8EB63	TonB1 energy transduction system for heme uptake inner membrane component ExbB	ExbB
G1GMP-1357-MONOMER	G1GMP-1357	Q8EGX2	transcriptional regulator Cro/CI family	
G1GMP-3543-MONOMER	G1GMP-3543	Q8EAS5	2-dehydropantoate 2-reductase PanE	PanE
G1GMP-816-MONOMER	G1GMP-816	Q8EIG5	RNA polymerase-binding protein DksA	DksA
G1GMP-3674-MONOMER	G1GMP-3674	Q8EAE7	ABC-type lipopolysaccharide export system chaperone component LptA	LptA
G1GMP-3796-MONOMER	G1GMP-3796	Q8EA00	MSHA pilus assembly ATPase MshE	MshE
G1GMP-682-MONOMER	G1GMP-682	Q8EIV2	hypothetical protein	
G1GMP-2655-MONOMER	G1GMP-2655	Q8ED87	DnaA regulatory inactivator Hda	Hda
G1GMP-959-MONOMER	G1GMP-959	Q8EI17	adenosylcobinamide-GDP ribazoletransferase	CobS
G1GMP-374-MONOMER	G1GMP-374	Q8EJS2	excisionase/response regulator inhibitor-like protein	
G1GMP-497-MONOMER	G1GMP-497	Q8EJE2	multidrug efflux pump permease component RmrB	RmrB
G1GMP-1752-MONOMER	G1GMP-1752	Q8EFR8	transcriptional repressor of branched chain amino acid degradation LiuR	LiuR
G1GMP-1416-MONOMER	G1GMP-1416	Q8EGR2	transcriptional activator of glycine metabolism GcvA	GcvA
G1GMP-2359-MONOMER	G1GMP-2359	Q8EE17	UCP006173 family protein	YcgN
G1GMP-1252-MONOMER	G1GMP-1252	Q8EH75	putative transporter HlyC/CorC (HCC) family	
G1GMP-1130-MONOMER	G1GMP-1130	Q8EHK2	phosphopentomutase DeoB	DeoB
G1GMP-2716-MONOMER	G1GMP-2716	Q8ED29	Lambda phage transcriptional regulator	
G1GMP-31-MONOMER	G1GMP-31	Q8EKQ9	methionyl-tRNA formyltransferase Fmt	Fmt
G1GMP-2988-MONOMER	G1GMP-2988	Q8ECD5	chemotaxis signal transduction system CheY phosphatase CheZ	CheZ
G1GMP-1487-MONOMER	G1GMP-1487	Q8EGI6	protein of unknown function DUF3301	
G1GMP-2566-MONOMER	G1GMP-2566	Q8EDG9	50S ribosomal protein L32 RpmF	RpmF
G1GMP-4271-MONOMER	G1GMP-4271	Q8E8P0	two component signal transduction system histidine kinase	
G1GMP-3110-MONOMER	G1GMP-3110	Q8EC03	homotrimeric cation channel (TRIC) family protein	
G1GMP-2777-MONOMER	G1GMP-2777	Q8ECW9	Lambda phage uncharacterized protein	
G1GMP-2866-MONOMER	G1GMP-2866	Q8ECP0	periplasmic protein of unknown function in aerotolerance operon BatD	BatD
G1GMP-1574-MONOMER	G1GMP-1574	Q8EG94	transcriptional regulator	
G1GMP-2360-MONOMER	G1GMP-2360	Q8EE15	protein of unknown function DUF709 YcgL	YcgL
G1GMP-99-MONOMER	G1GMP-99	Q8EKI9	nitrate-inducible formate dehydrogenase cytochrome b subunit FdnI	FdnI
G1GMP-230-MONOMER	G1GMP-230	Q8EK59	50S ribosomal protein L14 RplN	RplN
G1GMP-555-MONOMER	G1GMP-555	Q8EJ82	membrane protein of unknown function DUF3392	
G1GMP-305-MONOMER	G1GMP-305	Q8EJY8	protein of unknown function DUF1232	
G1GMP-3416-MONOMER	G1GMP-3416	Q8EB62	TonB1 energy transduction system for heme uptake inner membrane component ExbD	ExbD
G1GMP-683-MONOMER	G1GMP-683	Q8EIV0	hypothetical protein	
G1GMP-3544-MONOMER	G1GMP-3544	Q8EAS3	regulatory protein for nitrogen assimilation GlnK	GlnK
G1GMP-3797-MONOMER	G1GMP-3797	Q8E9Z9	MSHA biogenesis protein MshN	MshN
G1GMP-3675-MONOMER	G1GMP-3675	Q8EAE6	ABC transporter ATP-binding protein	LptB
G1GMP-1802-MONOMER	G1GMP-1802	Q8EFL8	protein of unknown function DUF482	
G1GMP-4165-MONOMER	G1GMP-4165	Q8E8Z6	formate dehydrogenase associated protein of unknown function DUF3505	
G1GMP-2037-MONOMER	G1GMP-2037	Q8EEY5	acteyltransferase GNAT family	
G1GMP-1839-MONOMER	G1GMP-1839	Q8EFH8	membrane-bound lytic transglycosylase MltB_2 family	
G1GMP-4487-MONOMER	G1GMP-4487	Q8E851	hypothetical protein	
G1GMP-160-MONOMER	G1GMP-160	Q8EKC2	T2aSS secretion system pseudopilus protein GspK	GspK
G1GMP-1131-MONOMER	G1GMP-1131	Q8EHK0	purine nucleoside phosphorylase DeoD	DeoD
G1GMP-2361-MONOMER	G1GMP-2361	Q8EE14	septum site-determining protein MinC	MinC
G1GMP-1253-MONOMER	G1GMP-1253	Q8EH74	cytochrome c assembly family protein	
G1GMP-437-MONOMER	G1GMP-437	Q8EJK4	putative ATPase DUF853 family	
G1GMP-960-MONOMER	G1GMP-960	Q8EI16	bifunctional cobinamide kinase/cobinamide phosphate guanylyltransferase CobU	CobU
G1GMP-1659-MONOMER	G1GMP-1659	Q8EG06	phage shock protein B PspB	PspB
G1GMP-375-MONOMER	G1GMP-375	K4PTZ3	hypothetical protein	
G1GMP-2989-MONOMER	G1GMP-2989	Q8ECD4	chemotaxis signal transduction system response regulator CheY	CheY
G1GMP-3857-MONOMER	G1GMP-3857	Q8E9T3	diguanylate cyclase-like protein MxdA	MxdA
G1GMP-3925-MONOMER	G1GMP-3925	Q8E9M1	bifunctional 4'-phosphopantothenoylcysteine decarboxylase/phosphopantothenoylcysteine synthetase Dfp	Dfp
G1GMP-4584-MONOMER	G1GMP-4584	Q8CME3	ISSod9, DNA-invertase	
G1GMP-2567-MONOMER	G1GMP-2567	Q8EDG8	protein of unknown function DUF17	
G1GMP-2867-MONOMER	G1GMP-2867	Q8ECN9	RNA polymerase sigma factor ECF family 28	
G1GMP-4166-MONOMER	G1GMP-4166	Q8E8Z5	formate dehydrogenase associated protein of unknown function DUF3506	
G1GMP-3111-MONOMER	G1GMP-3111	Q8EC02	predicted lipoprotein	
G1GMP-1771-MONOMER	G1GMP-1771	Q8EFP8	putative RNA-binding protein YqfB	YqfB
G1GMP-1877-MONOMER	G1GMP-1877	Q8EFE2	signalling protein with EAL domain	
G1GMP-3417-MONOMER	G1GMP-3417	Q8EB61	ABC-type hemin uptake system substrate-binding component HmuB	HmuB
G1GMP-1908-MONOMER	G1GMP-1908	Q8EFA9	hypothetical protein	
G1GMP-817-MONOMER	G1GMP-817	Q8EIG4	sugar fermentation stimulation protein SfsA	SfsA
G1GMP-2362-MONOMER	G1GMP-2362	Q8EE13	membrane ATPase that activates MinC MinD	MinD
G1GMP-1611-MONOMER	G1GMP-1611	Q8EG50	branched-chain amino acid efflux pump permease component 2 AzlD family	
G1GMP-684-MONOMER	G1GMP-684	Q8CLZ2	ISSod3 transposase TnpA_ISSod3	TnpA
G1GMP-3241-MONOMER	G1GMP-3241	Q8EBN7	REG family ATPase YjjK	YjjK
G1GMP-3546-MONOMER	G1GMP-3546	Q8EAS2	diguanylate phosphodiesterase	
G1GMP-1535-MONOMER	G1GMP-1535	Q8EGD5	Sigma54-dependent transcriptional activator of amino acid degradation TyrR	TyrR
G1GMP-2108-MONOMER	G1GMP-2108	Q8EER3	double-stranded DNA translocase FtsK	FtsK
G1GMP-1417-MONOMER	G1GMP-1417	Q8EGR1	alpha/beta-hydrolase superfamily protein	
G1GMP-3676-MONOMER	G1GMP-3676	Q8EAE5	RNA polymerase sigma-54 factor RpoN	RpoN
G1GMP-1254-MONOMER	G1GMP-1254	Q8EH73	signal recognition particle protein Ffh	Ffh
G1GMP-3798-MONOMER	G1GMP-3798	Q8E9Z8	MSHA biogenesis protein MshM	MshM
G1GMP-1132-MONOMER	G1GMP-1132	Q8EHJ9	SMP-2 superfamily membrane protein	
G1GMP-2656-MONOMER	G1GMP-2656	Q8ED86	putative periplasmic protein of unknown function DUF2066	
G1GMP-32-MONOMER	G1GMP-32	Q8EKQ8	peptide deformylase Def	Def
G1GMP-1452-MONOMER	G1GMP-1452	Q8EGM2	transcriptional repressor of glutathione detoxification	
G1GMP-2363-MONOMER	G1GMP-2363	Q8EE12	cell division topological specificity factor MinE	MinE
G1GMP-1018-MONOMER	G1GMP-1018	Q8EHV6	Na-translocating NADH-quinone reductase subunit D NqrD	NqrD
G1GMP-2718-MONOMER	G1GMP-2718	Q8ED27	Lambda phage structural protein	
G1GMP-3315-MONOMER	G1GMP-3315	Q8EBG3	5-(carboxyamino)imidazole ribonucleotide synthase	PurK
G1GMP-1696-MONOMER	G1GMP-1696	Q8EFW7	hypothetical protein	
G1GMP-2990-MONOMER	G1GMP-2990	Q8ECD3	RNA polymerase sigma-28 factor for flagellar operon FliA	FliA
G1GMP-4272-MONOMER	G1GMP-4272	Q8E8N9	two component signal transduction system response regulator	
G1GMP-1358-MONOMER	G1GMP-1358	K4PSQ2	predicted membrane protein	
G1GMP-3283-MONOMER	G1GMP-3283	Q8EBJ4	type IV pilus biogenesis protein FimU	FimU
G1GMP-2364-MONOMER	G1GMP-2364	Q8EE10	ribonuclease D Rnd	Rnd
G1GMP-2568-MONOMER	G1GMP-2568	Q8EDG7	Maf septum formation family protein YceF	YceF
G1GMP-2868-MONOMER	G1GMP-2868	Q8ECN8	anti-sigma factor	
G1GMP-306-MONOMER	G1GMP-306	Q8EJY7	protein of unknown function DUF1232	
G1GMP-3112-MONOMER	G1GMP-3112	Q8EC01	predicted inner membrane protein	
G1GMP-4338-MONOMER	G1GMP-4338	Q8E8H1	proton-coupled multidrug efflux pump MFP component VmeA	VmeA
G1GMP-4488-MONOMER	G1GMP-4488	Q8E850	hypothetical protein	
G1GMP-2778-MONOMER	G1GMP-2778	Q8ECW8	Lambda phage type II restriction-modification system DNA N-6-adenine-methyltransferase Dam	Dam
G1GMP-3418-MONOMER	G1GMP-3418	Q8EB60	ABC-type hemin uptake system permease component HmuC	HmuC
G1GMP-466-MONOMER	G1GMP-466	Q8EJH4	oligopeptidase lipoprotein M13 family	
G1GMP-556-MONOMER	G1GMP-556	Q8EJ81	glycerophosphodiester phosphodiesterase	
G1GMP-818-MONOMER	G1GMP-818	Q8EIG3	aminopeptidase PepB	PepB
G1GMP-231-MONOMER	G1GMP-231	Q8EK58	50S ribosomal protein L24 RplX	RplX
G1GMP-1970-MONOMER	G1GMP-1970	Q8EF50	aspartate-alanine antiporter	
G1GMP-2365-MONOMER	G1GMP-2365	Q8EE09	long chain fatty acid CoA ligase FadD	FadD
G1GMP-4167-MONOMER	G1GMP-4167	Q8E8Z4	iron-sulfur cluster-binding protein	
G1GMP-685-MONOMER	G1GMP-685	Q8EIU9	thioredoxin-like protein	
G1GMP-3547-MONOMER	G1GMP-3547	Q8EAS1	transport protein DMT superfamily	
G1GMP-1133-MONOMER	G1GMP-1133	Q8EHJ8	phosphoserine phosphatase SerB	SerB
G1GMP-3677-MONOMER	G1GMP-3677	Q8EAE4	sigma-54 modulation protein/ribosome-associated factor YhbH	YhbH
G1GMP-3799-MONOMER	G1GMP-3799	Q8E9Z7	MSHA system outer membrane secretin MshL	MshL
G1GMP-2038-MONOMER	G1GMP-2038	Q8EEY4	carboxypeptidase-like protein	
G1GMP-4585-MONOMER	G1GMP-4585	Q8E7Z7	hypothetical protein	
G1GMP-376-MONOMER	G1GMP-376	Q8EJS1	hypothetical protein	
G1GMP-1255-MONOMER	G1GMP-1255	Q8EH72	30S ribosomal protein S16 RpsP	RpsP
G1GMP-127-MONOMER	G1GMP-127	Q8EKG1	periplasmic FliL-like protein	
G1GMP-2366-MONOMER	G1GMP-2366	Q8EE08	peptidase S33 family	
G1GMP-961-MONOMER	G1GMP-961	Q8EI15	cobyric acid synthase CobQ	CobQ
G1GMP-438-MONOMER	G1GMP-438	Q8EJK2	hypothetical protein	
G1GMP-3419-MONOMER	G1GMP-3419		ABC-type hemin uptake system ATPase component HmuD	HmuD
G1GMP-2991-MONOMER	G1GMP-2991	Q8ECD2	flagellar polar localization control system FlhF inhibitory ATPase FlhG	FlhG
G1GMP-3858-MONOMER	G1GMP-3858	K4PW19	RNA pseudouridylate synthase family protein	
G1GMP-3926-MONOMER	G1GMP-3926	Q8E9M0	deoxyuridine 5-triphosphate nucleotidohydrolase Dut	Dut
G1GMP-2570-MONOMER	G1GMP-2570	K4PU25	23S rRNA pseudouridine955/2504/2580 synthase RluC	RluC
G1GMP-2870-MONOMER	G1GMP-2870	Q8ECN7	outer membrane long-chain fatty acid receptor FadL family	
G1GMP-3113-MONOMER	G1GMP-3113	Q8EC00	translation initiation factor protein YciH	YciH
G1GMP-4339-MONOMER	G1GMP-4339	Q8E8H0	TMAO reductase system outer membrane porin TorF	TorF
G1GMP-1134-MONOMER	G1GMP-1134	Q8EHJ7	esterase/lipase/thioesterase family protein	
G1GMP-1923-MONOMER	G1GMP-1923	Q8EF93	NiFe hydrogenase assembly chaperone HypC	HypC
G1GMP-557-MONOMER	G1GMP-557	Q8EJ80	small conductance mechanosensitive ion channel protein MscS family	
G1GMP-33-MONOMER	G1GMP-33	Q8EKQ7	peptidoglycan-binding protein	
G1GMP-3242-MONOMER	G1GMP-3242	Q8EBN6	transcriptional regulator LysR family	
G1GMP-686-MONOMER	G1GMP-686	Q8EIU8	cold-shock DNA-binding domain protein	
G1GMP-2367-MONOMER	G1GMP-2367	Q8EE07	methyltransferase	
G1GMP-819-MONOMER	G1GMP-819	Q8EIG2	acteyltransferase GNAT family	
G1GMP-1418-MONOMER	G1GMP-1418	Q8EGR0	inner membrane protein of unknown function DUF423	
G1GMP-1648-MONOMER	G1GMP-1648	Q8EG16	histone-like DNA-binding protein HupB	HupB
G1GMP-4168-MONOMER	G1GMP-4168	Q8E8Z3	formate dehydrogenase chaperone FdhT	FdhT
G1GMP-2109-MONOMER	G1GMP-2109	Q8EER2	outer membrane lipoprotein carrier protein LolA	LolA
G1GMP-3550-MONOMER	G1GMP-3550	Q8CMJ3	ISSod4 transposase TnpA_ISSod4	TnpA
G1GMP-2657-MONOMER	G1GMP-2657	Q8ED85	N-acetylglucosamine/uracil transporter UraA	UraA
G1GMP-1019-MONOMER	G1GMP-1019	Q8EHV5	Na-translocating NADH-quinone reductase subunit E NqrE	NqrE
G1GMP-3678-MONOMER	G1GMP-3678	Q8EAE3	phosphotransferase system (PTS) sugar-specific IIA component PtsN	PtsN
G1GMP-232-MONOMER	G1GMP-232	Q8EK57	50S ribosomal protein L5 RplE	RplE
G1GMP-3800-MONOMER	G1GMP-3800	Q8E9Z6	MSHA biogenesis protein MshK	MshK
G1GMP-4273-MONOMER	G1GMP-4273	Q8E8N8	transcriptional regulator LuxR family	
G1GMP-4492-MONOMER	G1GMP-4492	Q8CMJ3	ISSod4, transposase	
G1GMP-2719-MONOMER	G1GMP-2719	Q8ED26	Lambda phage tail fiber protein	
G1GMP-1803-MONOMER	G1GMP-1803	Q8EFL7	homogentisate export protein	
G1GMP-2368-MONOMER	G1GMP-2368	Q8EE06	membrane zinc metalloprotease	
G1GMP-1488-MONOMER	G1GMP-1488	Q8EGI5	protein of unknown function DUF3549	
G1GMP-307-MONOMER	G1GMP-307	Q8EJY6	inner membrane acyl transferase family 3 protein	
G1GMP-1575-MONOMER	G1GMP-1575	Q8EG93	putative lipoprotein	
G1GMP-3420-MONOMER	G1GMP-3420	Q8EB58	protein of unknown function DUF2956	
G1GMP-4169-MONOMER	G1GMP-4169	Q8E8Z2	formate dehydrogenase accessory protein FdhX	FdhX
G1GMP-2992-MONOMER	G1GMP-2992	Q8ECD1	flagellar polar localization control system flagellar assembly determinant GTPase FlhF	FlhF
G1GMP-559-MONOMER	G1GMP-559	K4PW03	phosphatidylserine decarboxylase Psd	Psd
G1GMP-2571-MONOMER	G1GMP-2571	Q8EDG6	ribonuclease E Rne	Rne
G1GMP-2779-MONOMER	G1GMP-2779	Q8ECW7	Lambda phage uncharacterized protein	
G1GMP-2871-MONOMER	G1GMP-2871	Q8ECN6	hypothetical protein	
G1GMP-1971-MONOMER	G1GMP-1971	Q8EF49	NO-binding heme-dependent sensor protein	
G1GMP-3114-MONOMER	G1GMP-3114	Q8EBZ9	protein of unknown function DUF179	
G1GMP-1840-MONOMER	G1GMP-1840	Q8EFH7	peptidyl-prolyl cis-trans isomerase FKBP family	
G1GMP-1135-MONOMER	G1GMP-1135	Q8EHJ6	c-di-GMP-binding protein	
G1GMP-161-MONOMER	G1GMP-161	Q8EKC1	T2aSSsecretion system inner membrane platform protein GspL	GspL
G1GMP-439-MONOMER	G1GMP-439	Q8EJK1	predicted inner membrane protein	
G1GMP-100-MONOMER	G1GMP-100	P59188	nitrate-inducible formate dehydrogenase chaperone FdhE	FdhE
G1GMP-2369-MONOMER	G1GMP-2369	Q8EE05	hypothetical protein	
G1GMP-820-MONOMER	G1GMP-820	Q8EIG1	phosphoribulokinase	
G1GMP-377-MONOMER	G1GMP-377	Q8EJS0	predicted lipoprotein	
G1GMP-1909-MONOMER	G1GMP-1909	Q8EFA8	hypothetical protein	
G1GMP-3552-MONOMER	G1GMP-3552	Q8EAR9	2-dehydro-3-deoxyphosphooctonate aldolase KdsA	KdsA
G1GMP-3801-MONOMER	G1GMP-3801	Q8E9Z5	MSHA biogenesis protein MshJ	MshJ
G1GMP-1660-MONOMER	G1GMP-1660	Q8EG05	phage shock protein C PspC	PspC
G1GMP-3679-MONOMER	G1GMP-3679	Q8EAE2	GlmZ repressor YhbJ	YhbJ
G1GMP-1256-MONOMER	G1GMP-1256	Q8EH71	16S rRNA processing protein RimM	RimM
G1GMP-962-MONOMER	G1GMP-962	Q8EI14	cob(I)alamin adenosyltransferase CobO	CobO
G1GMP-4586-MONOMER	G1GMP-4586	Q8E7Z6	resolvase family site-specific recombinase	
G1GMP-1878-MONOMER	G1GMP-1878	Q8EFE1	soluble lytic murein transglycosylase SltY	SltY
G1GMP-1739-MONOMER	G1GMP-1739	Q8EFT2	4-toluene sulfonate uptake permease family protein	
G1GMP-3421-MONOMER	G1GMP-3421	Q8EB57	hypothetical protein	
G1GMP-1360-MONOMER	G1GMP-1360	Q8EGX1	hypothetical protein	
G1GMP-2370-MONOMER	G1GMP-2370	Q8EE04	YgjD protease YeaZ	YeaZ
G1GMP-1612-MONOMER	G1GMP-1612	Q8EG49	branched-chain amino acid efflux pump permease component 1 AzlC family	
G1GMP-687-MONOMER	G1GMP-687	Q8EIU7	transcriptional repressor PadR family	
G1GMP-4170-MONOMER	G1GMP-4170	Q8E8Z1	formate dehydrogenase molybdopterin-binding subunit FdhA	FdhA
G1GMP-2993-MONOMER	G1GMP-2993	Q8ECD0	flagellar export protein FlhA	FlhA
G1GMP-560-MONOMER	G1GMP-560	Q8EJ79	30S ribosome assembly GTPase RsgA	RsgA
G1GMP-1536-MONOMER	G1GMP-1536	Q8EGD4	fumarylacetoacetate hydrolase FahA	FahA
G1GMP-1419-MONOMER	G1GMP-1419	Q8EGQ9	23S rRNA (cytidine(2498)-2'-O)-methyltransferase RlmM	RlmM
G1GMP-821-MONOMER	G1GMP-821	Q8EIG0	protein of unknown function UPF0270	
G1GMP-3859-MONOMER	G1GMP-3859	Q8E9T2	ATP-dependent protease La (LON) domain protein	
G1GMP-3927-MONOMER	G1GMP-3927	Q8E9L9	transcriptional repressor of cell division SlmA	SlmA
G1GMP-3115-MONOMER	G1GMP-3115	Q8EBZ8	Holliday junction resolvase YqgF	YqgF
G1GMP-2573-MONOMER	G1GMP-2573	Q8EDG5	cold shock protein CspA	CspA
G1GMP-1136-MONOMER	G1GMP-1136	Q8EHJ5	ATP-dependent protease RadA	RadA
G1GMP-34-MONOMER	G1GMP-34	Q8EKQ6	DNA processing protein DprA	DprA
G1GMP-2872-MONOMER	G1GMP-2872	Q8ECN5	putative outer membrane protein of unknown function DUF541	
G1GMP-2039-MONOMER	G1GMP-2039	Q8CLZ2	ISSod3 transposase TnpA_ISSod3	TnpA
G1GMP-2110-MONOMER	G1GMP-2110	Q8EER1	AAA ATPase family protein	
G1GMP-498-MONOMER	G1GMP-498	Q8EJE1	acteyltransferase GNAT family ElaA	ElaA
G1GMP-1020-MONOMER	G1GMP-1020	Q8EHV4	Na-translocating NADH-quinone reductase subunit F NqrF	NqrF
G1GMP-1697-MONOMER	G1GMP-1697	Q8EFW6	hypothetical protein	
G1GMP-3243-MONOMER	G1GMP-3243	Q8EBN5	metallo-beta-lactamase family protein	
G1GMP-233-MONOMER	G1GMP-233	Q8EK56	30S ribosomal protein S14 RpsN	RpsN
G1GMP-2371-MONOMER	G1GMP-2371	Q8EE03	delta-aminolevulinic acid dehydratase HemB	HemB
G1GMP-1453-MONOMER	G1GMP-1453	Q8EGM1	protein of unknown function DUF2461	
G1GMP-3553-MONOMER	G1GMP-3553	Q8EAR8	protein of unknown function DUF819	
G1GMP-2658-MONOMER	G1GMP-2658	Q8ED84	monothiol glutaredoxin GrxD	GrxD
G1GMP-3680-MONOMER	G1GMP-3680	Q8EAE1	phosphotransferase system (PTS) phosphohisitinoprotein-hexose phosphotransferase comonent PtsO	PtsO
G1GMP-3802-MONOMER	G1GMP-3802	K4PU43	MSHA biogenesis protein MshI2	
G1GMP-308-MONOMER	G1GMP-308	Q8EJY5	putative periplasmic protein of unknown function	
G1GMP-561-MONOMER	G1GMP-561	Q8EJ78	3'-5' oligoribonuclease Orn	Orn
G1GMP-4493-MONOMER	G1GMP-4493		hypothetical protein	
G1GMP-3422-MONOMER	G1GMP-3422	Q8EB56	FAD-dependent oxidoreductase	
